MG,MRI,NM,US,ID_MAMMO,LISTBOX_NAME,Structure,ITEM_NAME,,Dicom_code,Code_meaning,SnoMed,one-many,snomed description,ID10CT,comments,UMLS,,,,,,,,,
MG,MRI,,US,104,Classification Consistent with,Consistent with MG MRI US,Abscess,,,,,,,,,,,,,,,,,,
,MRI,,US,503,Classification Consistent with,Consistent with MRI US,Angiolipoma,,,,404057003,,ClinicalFinding | Angiolipoma (Disorder),D17.9,,,,,,,,,,,
,,,US,948,Classification Consistent with,Consistent with US,Apocrine metaplasia,,,,,,ClinicalFinding | 37009001 | Apocrine metaplasia of breast (Disorder) | [0/0] | N60.89,,,,,,,,,,,,
,,NM,,946,Classification Consistent with,Consistent with NM,Artifact,,,,,,,,,,,,,,,,,,
,MRI,,,545,Classification Consistent with,Consistent with MRI,Atypical hyperplasia,,,,,,,,,,,,,,,,,,
,,NM,,942,Classification Consistent with,Consistent with NM,Axillary lymph node,,,,,,BodyStructure | 245269009 | Axillary lymph node group (Bodypart),,,,,,,,,,,,
MG,MRI,NM,US,504,Classification Consistent with,Consistent with MG MRI NM US,Carcinoma,,,,,,ClinicalFinding | 254838004 | Carcinoma of breast (Disorder) | [4/33] | C50.929,,,,,,,,,,,,
MG,MRI,,US,510,Classification Consistent with,Consistent with MG MRI US,Carcinoma known,,,,,,ClinicalFinding | 254838004 | Carcinoma of breast (Disorder) | [4/33] | C50.929,,,,,,,,,,,,
MG,MRI,,US,577,Classification Consistent with,Consistent with MG MRI US,Cluster of cysts,,,,399294002,one,ClinicalFinding |Cyst of breast (Disorder) ++++++,N60.09,BodyStructure | 125291005 | Multiple cysts (Morphologic-Abnormality,,,,,,,,,,
MG,MRI,,,565,Classification Consistent with,Consistent with MG MRI,Cyst,,,,399294002,one,ClinicalFinding |Cyst of breast (Disorder) ,N60.09,,,,,,,,,,,
,MRI,,US,61,Classification Consistent with,Consistent with MRI US,Cyst complex,,,,449837001,one,ClinicalFinding | Complex cyst of breast (Disorder),N60.09,,,,,,,,,,,
,MRI,,US,115,Classification Consistent with,Consistent with MRI US,Cyst complicated,,,,,,,,NO CORRECT TERM,,,,,,,,,,
MG,,,US,582,Classification Consistent with,Consistent with MG US,Cyst oil,,,,,,,,NO OIL CYST,,,,,,,,,,
,,,US,501,Classification Consistent with,Consistent with US,Cyst sebaceous,,,,76649007,one,ClinicalFinding | Sebaceous cyst of skin of breast (Disorder),N60.89,,,,,,,,,,,
,MRI,,US,60,Classification Consistent with,Consistent with MRI US,Cyst simple,,,,399253005,one,ClinicalFinding | Simple cyst of breast (Disorder),N60.09,,,,,,,,,,,
,MRI,,US,537,Classification Consistent with,Consistent with MRI US,Cysts complex,,,,449837001,Many,ClinicalFinding | Complex cyst of breast (Disorder),N60.09,,,,,,,,,,,
,MRI,,US,506,Classification Consistent with,Consistent with MRI US,Cysts complicated,,,,,,,,NO CORRECT TERM,,,,,,,,,,
,,,US,505,Classification Consistent with,Consistent with US,Cysts micro clustered,,,,,,,,NO CORRECT TERM,,,,,,,,,,
MG,MRI,NM,US,514,Classification Consistent with,Consistent with MG MRI NM US,DCIS,,,,,?????,BodyStructure | 399935008 | Ductal carcinoma in situ - category (Morphologic-Abnormality),,,,,,,,,,,,
MG,,,US,515,Classification Consistent with,Consistent with MG US,Debris,,,,,,,,,,,,,,,,,,
MG,,,,589,Classification Consistent with,Consistent with MG,Deodorant,,,,39432004,,PharmaceuticalBiologicProduct | Deodorant (Product),,,,,,,,,,,,
MG,,,,572,Classification Consistent with,Consistent with MG  ,Dermal calcification,,,,,,,,,,,,,,,,,,
,MRI,,US,64,Classification Consistent with,Consistent with MRI US,Duct ectasia,,,,,,ClinicalFinding | 22049009 | Mammary duct ectasia (Disorder) | [0/0] | N60.49 ,,,,,,,,,,,,
,MRI,,US,513,Classification Consistent with,Consistent with MRI US,Edema,,,,290077003,,ClinicalFinding | Edema of breast (Finding),R60.0,,,,,,,,,,,
,,,US,523,Classification Consistent with,Consistent with US,Fat lobule,,,,,,no direct match possible fat necrosis?,,,,,,,,,,,,
MG,MRI,,US,509,Classification Consistent with,Consistent with MG MRI US,Fat necrosis,,,,21381006,,ClinicalFinding | Fat necrosis of breast (Disorder) ,N64.1,,,,,,,,,,,
